antecedent,consequent,support,confidence,lift
bytes_per_packet_high AND packet_rate_medium AND state_con,outbound_dominance_ratio_medium AND packet_asymmetry_low AND proto_udp,0.017514,0.936852,46.377335
outbound_dominance_ratio_medium AND packet_asymmetry_low AND proto_udp,bytes_per_packet_high AND packet_rate_medium AND state_con,0.017514,0.867024,46.377335
bytes_per_packet_high AND packet_asymmetry_low AND proto_udp,outbound_dominance_ratio_medium AND packet_rate_medium AND service_- AND state_con,0.017514,0.848108,46.240096
outbound_dominance_ratio_medium AND packet_rate_medium AND service_- AND state_con,bytes_per_packet_high AND packet_asymmetry_low AND proto_udp,0.017514,0.954913,46.240096
bytes_per_packet_high AND packet_asymmetry_low AND proto_udp AND service_-,outbound_dominance_ratio_medium AND packet_rate_medium AND state_con,0.017514,0.852582,45.800418
outbound_dominance_ratio_medium AND packet_rate_medium AND state_con,bytes_per_packet_high AND packet_asymmetry_low AND proto_udp AND service_-,0.017514,0.94087,45.800418
packet_rate_medium AND service_- AND state_con,bytes_per_packet_high AND packet_asymmetry_low AND proto_udp,0.017526,0.941194,45.575803
bytes_per_packet_high AND packet_asymmetry_low AND proto_udp,packet_rate_medium AND service_- AND state_con,0.017526,0.848661,45.575803
outbound_dominance_ratio_medium AND packet_rate_medium AND state_con,bytes_per_packet_high AND packet_asymmetry_low AND proto_udp,0.017514,0.94087,45.560095
bytes_per_packet_high AND packet_asymmetry_low AND proto_udp,outbound_dominance_ratio_medium AND packet_rate_medium AND state_con,0.017514,0.848108,45.560095
packet_asymmetry_low AND proto_udp AND service_-,bytes_per_packet_high AND outbound_dominance_ratio_medium AND packet_rate_medium AND state_con,0.017514,0.832249,45.011545
bytes_per_packet_high AND outbound_dominance_ratio_medium AND packet_rate_medium AND state_con,packet_asymmetry_low AND proto_udp AND service_-,0.017514,0.947255,45.011545
packet_asymmetry_low AND proto_udp AND service_-,outbound_dominance_ratio_medium AND packet_rate_medium AND state_con,0.017514,0.832249,44.708158
outbound_dominance_ratio_medium AND packet_rate_medium AND state_con,packet_asymmetry_low AND proto_udp AND service_-,0.017514,0.94087,44.708158
packet_asymmetry_low AND proto_udp AND service_-,bytes_per_packet_high AND packet_rate_medium AND state_con,0.017526,0.832791,44.546206
bytes_per_packet_high AND packet_rate_medium AND state_con,packet_asymmetry_low AND proto_udp AND service_-,0.017526,0.937462,44.546206
outbound_dominance_ratio_medium AND packet_asymmetry_low AND packet_rate_medium AND service_-,bytes_per_packet_high AND proto_udp AND state_con,0.017514,0.881964,42.438122
bytes_per_packet_high AND proto_udp AND state_con,outbound_dominance_ratio_medium AND packet_asymmetry_low AND packet_rate_medium AND service_-,0.017514,0.842755,42.438122
packet_asymmetry_low AND packet_rate_medium AND proto_udp AND service_-,bytes_per_packet_high AND outbound_dominance_ratio_medium AND state_con,0.017514,0.991605,35.849273
bytes_per_packet_high AND packet_asymmetry_low AND packet_rate_medium AND proto_udp,outbound_dominance_ratio_medium AND service_- AND state_con,0.017514,0.995785,35.230404
outbound_dominance_ratio_medium AND packet_asymmetry_medium AND proto_arp,packet_rate_low AND service_- AND state_int,0.015792,1.0,34.942407
packet_asymmetry_medium AND proto_arp,outbound_dominance_ratio_medium AND packet_rate_low AND service_- AND state_int,0.015792,1.0,34.942407
bytes_per_packet_low AND packet_asymmetry_medium AND proto_arp,outbound_dominance_ratio_medium AND packet_rate_low AND service_- AND state_int,0.015792,1.0,34.942407
bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_asymmetry_medium AND proto_arp,packet_rate_low AND service_- AND state_int,0.015792,1.0,34.942407
bytes_per_packet_low AND packet_asymmetry_medium AND proto_arp,packet_rate_low AND service_- AND state_int,0.015792,1.0,34.942407
packet_asymmetry_medium AND proto_arp,packet_rate_low AND service_- AND state_int,0.015792,1.0,34.942407
bytes_per_packet_high AND packet_asymmetry_low AND packet_rate_medium AND proto_udp AND service_-,outbound_dominance_ratio_medium AND state_con,0.017514,0.999349,34.857148
outbound_dominance_ratio_medium AND packet_asymmetry_low AND packet_rate_medium,bytes_per_packet_high AND proto_udp AND service_- AND state_con,0.017514,0.717356,34.852279
